id_master,id_using,_pc01_block_name_master,_pc01_block_name_using
Rajasthan-JAIPUR_SAMBHAR LAKE                       ,08-12-sambhar,sambhar lake,sambhar
Rajasthan-JAISALMER_POKARAN                            ,08-16-sankra,pokaran,sankra
Rajasthan-JALOR_AAHOR                              ,08-18-ahore,aahor,ahore
Rajasthan-NAGAUR_MERTA CITY                         ,08-14-merta,merta city,merta
Sikkim-SOUTH SIKKIM_RAVANGLA,11-03-ravong,ravangla,ravong
Tamil-Nadu-COIMBATORE_P.N.PALAYAM                        ,33-12-periyanaickenpalayam,pnpalayam,periyanaickenpalayam
Tamil-Nadu-COIMBATORE_S.S.KULAM                          ,33-12-sarcarsamakulam,sskulam,sarcarsamakulam
Tamil-Nadu-COIMBATORE_UDUMALPET                          ,33-12-udumalaipettai,udumalpet,udumalaipettai
Tamil-Nadu-CUDDALORE_MANGALORE                          ,33-18-mangalur,mangalore,mangalur
Tamil-Nadu-DHARMAPURI_PALACODE,33-05-palakkodu,palacode,palakkodu
Tamil-Nadu-ERODE_GOBI,33-10-gobichettipalayam,gobi,gobichettipalayam
Tamil-Nadu-ERODE_SATHY,33-10-sathyamangalam,sathy,sathyamangalam
Tamil-Nadu-ERODE_T.N. PALAYAM,33-10-thookanaickenpalayam,tn palayam,thookanaickenpalayam
Tamil-Nadu-RAMANATHAPURAM_RAJASINGAMANGALAM                  ,33-27-r s mangalam,rajasingamangalam,r s mangalam
Tamil-Nadu-SALEM_MAGUNDANCHAVADI,33-08-mc donalchoultry,magundanchavadi,mc donalchoultry
Tamil-Nadu-THENI_CUMBUM,33-25-kambam,cumbum,kambam
Tamil-Nadu-THENI_MYLADUMPARAI,33-25-kadamalaikundrumyladumparai,myladumparai,kadamalaikundrumyladumparai
"Tamil-Nadu-THOOTHUKKUDI_KOVILPATTI RURAL, URBAN            ",33-28-kovilpatti,kovilpatti rural urban,kovilpatti
Tamil-Nadu-THOOTHUKKUDI_THOOTHUKUDI RURAL,33-28-thoothukkudi,thoothukudi rural,thoothukkudi
Tamil-Nadu-VELLORE_PERNAMBUT                          ,33-04-pernampattu,pernambut,pernampattu
Tamil-Nadu-VELLORE_VELLORE RURAL                      ,33-04-vellore,vellore rural,vellore
Tamil-Nadu-VELLORE_WALAJAH EAST                       ,33-04-walajapet,walajah east,walajapet
Tamil-Nadu-VILUPPURAM_ULUNDURPET                         ,33-07-uludurpettai,ulundurpet,uludurpettai
Tamil-Nadu-VIRUDHUNAGAR_WATRAP                             ,33-26-vathirairuppu,watrap,vathirairuppu
Tripura-NORTH TRIPURA_JAMPUI,16-04-jampuiihills,jampui,jampuiihills
Uttar-Pradesh-ALIGARH_JAWAN                              ,09-12-jawansikanderpur,jawan,jawansikanderpur
Uttar-Pradesh-AZAMGARH_FOOLPOOR                           ,09-61-phulpur,foolpoor,phulpur
Uttar-Pradesh-AZAMGARH_PALAHNI,09-61-palhani,palahni,palhani
Uttar-Pradesh-BALLIA_BERUARBARI,09-63-veruarwari,beruarbari,veruarwari
Uttar-Pradesh-BAREILLY_ALAMPUR,09-20-aalampurjafarabad,alampur,aalampurjafarabad
Uttar-Pradesh-BAREILLY_FATEHGANJ,09-20-fatehganjpashchim,fatehganj,fatehganjpashchim
Uttar-Pradesh-BASTI_BASTI SADAR,09-55-basti,basti sadar,basti
Uttar-Pradesh-BIJNOR_AAKU(NEHTOR),09-03-nehtaur,aaku nehtor,nehtaur
Uttar-Pradesh-BIJNOR_AFZALGRAH,09-03-afzalgarh kasimpurgarhi,afzalgrah,afzalgarh kasimpurgarhi
Uttar-Pradesh-BIJNOR_ALLHEPUR(DHAMPUR),09-03-allahpur,allhepur dhampur,allahpur
Uttar-Pradesh-BIJNOR_MOHD.PUR DEVMAL,09-03-mohammedpurdeomal,mohdpur devmal,mohammedpurdeomal
Uttar-Pradesh-BUDAUN_DEHGANWA                           ,09-19-dahgavan,dehganwa,dahgavan
Uttar-Pradesh-BULANDSHAHR_B.B.NAGAR                          ,09-11-bhawanbahadurnagar,bbnagar,bhawanbahadurnagar
Uttar-Pradesh-CHITRAKOOT_CHITRAKOOT                         ,09-41-karvi chitrakootdham,chitrakoot,karvi chitrakootdham
